type,simulationRun,threshold,mean_score,max_score,p95_score,n_above,max_consec
normal,4,0.6,0.615929901599884,0.6621602773666382,0.6501542329788208,70,19
normal,4,0.62,0.615929901599884,0.6621602773666382,0.6501542329788208,39,12
normal,4,0.64,0.615929901599884,0.6621602773666382,0.6501542329788208,13,4
normal,4,0.66,0.615929901599884,0.6621602773666382,0.6501542329788208,2,1
normal,4,0.687,0.615929901599884,0.6621602773666382,0.6501542329788208,0,0
normal,13,0.6,0.6065179109573364,0.671138346195221,0.6470984220504761,54,24
normal,13,0.62,0.6065179109573364,0.671138346195221,0.6470984220504761,26,9
normal,13,0.64,0.6065179109573364,0.671138346195221,0.6470984220504761,7,5
normal,13,0.66,0.6065179109573364,0.671138346195221,0.6470984220504761,2,2
normal,13,0.687,0.6065179109573364,0.671138346195221,0.6470984220504761,0,0
normal,14,0.6,0.6186572909355164,0.6755770444869995,0.6585870385169983,69,41
normal,14,0.62,0.6186572909355164,0.6755770444869995,0.6585870385169983,47,25
normal,14,0.64,0.6186572909355164,0.6755770444869995,0.6585870385169983,19,6
normal,14,0.66,0.6186572909355164,0.6755770444869995,0.6585870385169983,4,3
normal,14,0.687,0.6186572909355164,0.6755770444869995,0.6585870385169983,0,0
normal,16,0.6,0.6030489802360535,0.6729556322097778,0.6581934094429016,41,18
normal,16,0.62,0.6030489802360535,0.6729556322097778,0.6581934094429016,22,11
normal,16,0.64,0.6030489802360535,0.6729556322097778,0.6581934094429016,11,7
normal,16,0.66,0.6030489802360535,0.6729556322097778,0.6581934094429016,4,2
normal,16,0.687,0.6030489802360535,0.6729556322097778,0.6581934094429016,0,0
normal,17,0.6,0.6017752885818481,0.6549547910690308,0.6329416632652283,50,19
normal,17,0.62,0.6017752885818481,0.6549547910690308,0.6329416632652283,17,6
normal,17,0.64,0.6017752885818481,0.6549547910690308,0.6329416632652283,3,3
normal,17,0.66,0.6017752885818481,0.6549547910690308,0.6329416632652283,0,0
normal,17,0.687,0.6017752885818481,0.6549547910690308,0.6329416632652283,0,0
normal,23,0.6,0.6123958826065063,0.6658801436424255,0.6632960438728333,64,24
normal,23,0.62,0.6123958826065063,0.6658801436424255,0.6632960438728333,38,15
normal,23,0.64,0.6123958826065063,0.6658801436424255,0.6632960438728333,18,13
normal,23,0.66,0.6123958826065063,0.6658801436424255,0.6632960438728333,8,4
normal,23,0.687,0.6123958826065063,0.6658801436424255,0.6632960438728333,0,0
normal,41,0.6,0.6112865805625916,0.6935063004493713,0.6736854314804077,52,19
normal,41,0.62,0.6112865805625916,0.6935063004493713,0.6736854314804077,35,17
normal,41,0.64,0.6112865805625916,0.6935063004493713,0.6736854314804077,20,9
normal,41,0.66,0.6112865805625916,0.6935063004493713,0.6736854314804077,8,7
normal,41,0.687,0.6112865805625916,0.6935063004493713,0.6736854314804077,1,1
normal,45,0.6,0.6171317100524902,0.6758947372436523,0.6533252596855164,74,21
