type,simulationRun,max,mean,p95,p99,n_above,first_win,first_sample,max_consec,n_windows
normal,4,0.6621602773666382,0.615929901599884,0.6501542329788208,0.6613839864730835,0,-1,-1,0,89
normal,13,0.671138346195221,0.6065179109573364,0.6470984220504761,0.665351390838623,0,-1,-1,0,89
normal,14,0.6755770444869995,0.6186572909355164,0.6585870385169983,0.6750560998916626,0,-1,-1,0,89
normal,16,0.6729556322097778,0.6030489802360535,0.6581934094429016,0.669567883014679,0,-1,-1,0,89
normal,17,0.6549547910690308,0.6017752885818481,0.6329416632652283,0.6443965435028076,0,-1,-1,0,89
normal,23,0.6658801436424255,0.6123958826065063,0.6632960438728333,0.6657775044441223,0,-1,-1,0,89
normal,41,0.6935063004493713,0.6112865805625916,0.6736854314804077,0.6873976588249207,1,44,220,1,89
normal,45,0.6758947372436523,0.6171317100524902,0.6533252596855164,0.669576108455658,0,-1,-1,0,89
normal,48,0.6448442935943604,0.5932239294052124,0.6212146282196045,0.6394394636154175,0,-1,-1,0,89
normal,50,0.7455705404281616,0.6295202970504761,0.721709668636322,0.7364678382873535,13,71,355,13,89
normal,53,0.683949887752533,0.6080598831176758,0.6616542339324951,0.6774094700813293,0,-1,-1,0,89
normal,58,0.6522302031517029,0.6124692559242249,0.6404657363891602,0.6464537978172302,0,-1,-1,0,89
normal,64,0.6952196359634399,0.6383692026138306,0.6861454248428345,0.6907352209091187,4,25,125,1,89
normal,72,0.6824246644973755,0.6119164824485779,0.6685937643051147,0.6784771084785461,0,-1,-1,0,89
normal,80,0.6771291494369507,0.6397327184677124,0.6695860028266907,0.6726729869842529,0,-1,-1,0,89
normal,82,0.6565355062484741,0.616059422492981,0.6518212556838989,0.6562808752059937,0,-1,-1,0,89
normal,99,0.6720037460327148,0.6146825551986694,0.6514425277709961,0.6588428020477295,0,-1,-1,0,89
normal,102,0.6828137636184692,0.6313084959983826,0.6760008931159973,0.6823194622993469,0,-1,-1,0,89
normal,111,0.6771857738494873,0.6338091492652893,0.6675488948822021,0.6728254556655884,0,-1,-1,0,89
normal,112,0.6776081323623657,0.629123866558075,0.6685747504234314,0.6738800406455994,0,-1,-1,0,89
normal,113,0.6883110404014587,0.6179236769676208,0.6794175505638123,0.6881095170974731,2,3,15,1,89
normal,115,0.674784243106842,0.6055765151977539,0.6567938327789307,0.6643310785293579,0,-1,-1,0,89
normal,120,0.7363355159759521,0.6321189999580383,0.705091655254364,0.7184626460075378,8,6,30,8,89
normal,126,0.6878706812858582,0.6221561431884766,0.6812401413917542,0.6861206889152527,1,40,200,1,89
normal,136,0.704356849193573,0.626086950302124,0.6825567483901978,0.6961334943771362,4,30,150,4,89
normal,141,0.6848441362380981,0.6317400932312012,0.6753872632980347,0.6837958097457886,0,-1,-1,0,89
normal,143,0.6561293005943298,0.6013802289962769,0.6386600732803345,0.6451276540756226,0,-1,-1,0,89
