method,threshold_key,threshold_value,normal_FPR,fault15_TPR
global,p99,0.6886974972486496,0.30666666666666664,0.388
global,p99.5,0.6984050598740568,0.16,0.228
global,p99.9,0.7123806429505355,0.06666666666666667,0.094
global,max,0.7214792966842651,0.05333333333333334,0.032
top1,p99,1.868477543592453,0.28,0.244
top1,p99.5,1.9809267973899818,0.12,0.12
top1,p99.9,2.317351082325041,0.02666666666666667,0.014
top1,max,2.591902256011963,0.013333333333333334,0.004
top3,p99,1.5596000969409944,0.26666666666666666,0.246
top3,p99.5,1.6122489362955092,0.10666666666666667,0.1
top3,p99.9,1.8372677049636845,0.013333333333333334,0.008
top3,max,2.066739320755005,0.0,0.0
top5,p99,1.435550523996353,0.28,0.244
top5,p99.5,1.4895095181465123,0.09333333333333334,0.084
top5,p99.9,1.6029868828058265,0.02666666666666667,0.016
top5,max,1.6646232604980469,0.0,0.004
top10,p99,1.2741612386703491,0.25333333333333335,0.254
top10,p99.5,1.3047671604156488,0.13333333333333333,0.12
top10,p99.9,1.3349245846271518,0.06666666666666667,0.054
top10,max,1.3827362060546875,0.013333333333333334,0.012
