type,simulationRun,relationship,score_type,mean_score,max_score,p95_score,n_above_p99,max_consec_p99,event_p99
normal,4,act_Reactor_Cooling_Water_Flow->Reactor_Temperature,actuator_process_residual,0.8072559078320225,0.9555064391278479,0.9114026340521606,0,0,0
normal,4,act_Reactor_Cooling_Water_Outlet_Temperature->Reactor_Temperature,actuator_process_residual,0.7675073556781581,0.9110298500608314,0.8704107525064184,0,0,0
normal,4,act_Reactor_Temperature->Reactor_Pressure,actuator_process_residual,0.6898522651019916,1.0690786228618856,1.0293859426376628,0,0,0
normal,4,act_A_C_Feed_Flow->Reactor_Feed_Rate,actuator_process_residual,0.8340229850440231,1.0140203445686577,0.954698067256798,2,2,0
normal,4,act_A_Feed_Flow->Reactor_Feed_Rate,actuator_process_residual,0.8260753592067286,1.0125537718317021,0.9540795736798908,2,2,0
normal,4,act_D_Feed_Flow->Reactor_Feed_Rate,actuator_process_residual,0.8304101798480232,1.016069993724465,0.9537428710841134,2,2,0
normal,4,act_Condenser_Cooling_Water_Flow->Separator_Temperature,actuator_process_residual,0.7245348640552517,0.9610822706465302,0.8846328108167568,0,0,0
normal,4,act_Condenser_Cooling_Water_Outlet_Temperature->Separator_Temperature,actuator_process_residual,0.724927187136659,0.9645825094773027,0.916175817655249,0,0,0
normal,4,act_Separator_Temperature->Separator_Pressure,actuator_process_residual,0.7649630715601762,1.0489466019410687,0.9361450439467432,0,0,0
normal,4,pair_Reactor_Feed_Rate_vs_Reactor_Temperature,pair_correlation_deviation,1.0251851480673297,2.966378478011098,2.651298308985244,8,8,1
normal,4,pair_Separator_Temperature_vs_Separator_Pressure,pair_correlation_deviation,0.8014927959300606,2.6862158452528853,2.1365795122181077,3,3,1
normal,4,pair_Reactor_Temperature_vs_Reactor_Pressure,pair_correlation_deviation,0.7445894618802723,2.2152388319410807,1.8109731114268823,0,0,0
normal,4,lag_Reactor_Cooling_Water_Flow->Reactor_Temperature_lag5,lagged_correlation_deviation,0.54367826878807,1.7305660652421944,1.2841737848033412,0,0,0
normal,4,lag_A_C_Feed_Flow->Reactor_Feed_Rate_lag5,lagged_correlation_deviation,0.62421471572631,1.8499433191962373,1.4154331455261069,0,0,0
normal,4,lag_Condenser_Cooling_Water_Flow->Separator_Temperature_lag5,lagged_correlation_deviation,0.8618392895592432,2.7349967375991056,1.9450972677244756,1,1,0
normal,4,lag_Reactor_Cooling_Water_Flow->Reactor_Temperature_lag10,lagged_correlation_deviation,0.5756973708006797,1.3095349572723871,1.1536798265171353,0,0,0
normal,4,lag_A_C_Feed_Flow->Reactor_Feed_Rate_lag10,lagged_correlation_deviation,0.9377414162212285,2.6041092061279647,2.109130468207529,1,1,0
normal,4,lag_Condenser_Cooling_Water_Flow->Separator_Temperature_lag10,lagged_correlation_deviation,0.7534843984373013,1.8936285008671763,1.708299675239619,0,0,0
normal,13,act_Reactor_Cooling_Water_Flow->Reactor_Temperature,actuator_process_residual,0.816659418605482,1.0479350497293418,1.0181705237371024,4,4,1
normal,13,act_Reactor_Cooling_Water_Outlet_Temperature->Reactor_Temperature,actuator_process_residual,0.7619366288068505,0.8784692278873011,0.8644921888712,0,0,0
normal,13,act_Reactor_Temperature->Reactor_Pressure,actuator_process_residual,0.7822696826201693,1.3258930088559948,1.1730427848314957,0,0,0
normal,13,act_A_C_Feed_Flow->Reactor_Feed_Rate,actuator_process_residual,0.7825560238462456,0.9501952371966135,0.8750772106524748,0,0,0
normal,13,act_A_Feed_Flow->Reactor_Feed_Rate,actuator_process_residual,0.7825719325700139,0.9462464998005343,0.8730223690957576,0,0,0
normal,13,act_D_Feed_Flow->Reactor_Feed_Rate,actuator_process_residual,0.7765111210983675,0.9519343199863435,0.8626030177344189,0,0,0
normal,13,act_Condenser_Cooling_Water_Flow->Separator_Temperature,actuator_process_residual,0.7461059206343823,1.0288385148058832,0.9781229798537655,0,0,0
normal,13,act_Condenser_Cooling_Water_Outlet_Temperature->Separator_Temperature,actuator_process_residual,0.759515991035791,1.0377929062901028,0.95172070908827,0,0,0
normal,13,act_Separator_Temperature->Separator_Pressure,actuator_process_residual,0.7427728477397673,1.0228025065332216,0.9483792329931007,0,0,0
normal,13,pair_Reactor_Feed_Rate_vs_Reactor_Temperature,pair_correlation_deviation,0.7828325761759196,2.6648842584884185,1.769177265883472,1,1,0
normal,13,pair_Separator_Temperature_vs_Separator_Pressure,pair_correlation_deviation,0.8965948556333302,1.9721487123347763,1.7756388906034384,0,0,0
normal,13,pair_Reactor_Temperature_vs_Reactor_Pressure,pair_correlation_deviation,0.9990527698038391,2.6220016542677103,1.9592368853177962,1,1,0
normal,13,lag_Reactor_Cooling_Water_Flow->Reactor_Temperature_lag5,lagged_correlation_deviation,0.7374531452086598,2.470454457346099,1.8624787515541823,0,0,0
normal,13,lag_A_C_Feed_Flow->Reactor_Feed_Rate_lag5,lagged_correlation_deviation,0.6745531767828117,2.0635201552838165,1.633671168707569,0,0,0
normal,13,lag_Condenser_Cooling_Water_Flow->Separator_Temperature_lag5,lagged_correlation_deviation,0.7609591829521635,2.3765877511040707,1.8187651953172188,0,0,0
normal,13,lag_Reactor_Cooling_Water_Flow->Reactor_Temperature_lag10,lagged_correlation_deviation,0.5885308612543055,1.8328881029303565,1.6279050609060446,0,0,0
normal,13,lag_A_C_Feed_Flow->Reactor_Feed_Rate_lag10,lagged_correlation_deviation,0.9348236211523302,2.6740570632928176,2.2648256553594055,1,1,0
normal,13,lag_Condenser_Cooling_Water_Flow->Separator_Temperature_lag10,lagged_correlation_deviation,0.6655708873429133,1.993819075173758,1.6103126304723845,0,0,0
normal,14,act_Reactor_Cooling_Water_Flow->Reactor_Temperature,actuator_process_residual,0.7778773879761396,0.8661539153314896,0.860325841759758,0,0,0
normal,14,act_Reactor_Cooling_Water_Outlet_Temperature->Reactor_Temperature,actuator_process_residual,0.7617084146949828,0.9863000153620384,0.9255377403594771,0,0,0
normal,14,act_Reactor_Temperature->Reactor_Pressure,actuator_process_residual,0.7323612223384918,1.3027167153287238,1.2336742555350209,0,0,0
normal,14,act_A_C_Feed_Flow->Reactor_Feed_Rate,actuator_process_residual,0.8256521525765431,1.0331106846564215,1.000381980942091,8,8,1
normal,14,act_A_Feed_Flow->Reactor_Feed_Rate,actuator_process_residual,0.8227606045504068,1.0128273186977594,0.9853214913751629,4,3,1
normal,14,act_D_Feed_Flow->Reactor_Feed_Rate,actuator_process_residual,0.8255318498256485,1.0345827660469107,1.011130758025277,8,8,1
normal,14,act_Condenser_Cooling_Water_Flow->Separator_Temperature,actuator_process_residual,0.7790497518405046,1.1927141516933755,1.096639662673071,0,0,0
normal,14,act_Condenser_Cooling_Water_Outlet_Temperature->Separator_Temperature,actuator_process_residual,0.7950596049941914,1.0995733090388344,1.0505016093205481,0,0,0
normal,14,act_Separator_Temperature->Separator_Pressure,actuator_process_residual,0.7654925566173444,0.9859118409556122,0.9336986438913617,0,0,0
normal,14,pair_Reactor_Feed_Rate_vs_Reactor_Temperature,pair_correlation_deviation,0.670666459348049,2.0071360522365445,1.544429256165821,0,0,0
normal,14,pair_Separator_Temperature_vs_Separator_Pressure,pair_correlation_deviation,0.6822081740536947,2.145798684299262,1.8203931795935622,0,0,0
normal,14,pair_Reactor_Temperature_vs_Reactor_Pressure,pair_correlation_deviation,0.7387947430138482,2.668491489635264,1.5516070639433355,1,1,0
normal,14,lag_Reactor_Cooling_Water_Flow->Reactor_Temperature_lag5,lagged_correlation_deviation,0.6077767998860255,1.5970516482290888,1.4075359329298807,0,0,0
normal,14,lag_A_C_Feed_Flow->Reactor_Feed_Rate_lag5,lagged_correlation_deviation,0.764564188514004,2.1138469262131108,1.7859064023449471,0,0,0
normal,14,lag_Condenser_Cooling_Water_Flow->Separator_Temperature_lag5,lagged_correlation_deviation,0.679914320104056,2.745189420433731,1.8267937858231968,1,1,0
normal,14,lag_Reactor_Cooling_Water_Flow->Reactor_Temperature_lag10,lagged_correlation_deviation,0.9921897266446394,3.094709587888519,2.4531029666298876,4,4,1
normal,14,lag_A_C_Feed_Flow->Reactor_Feed_Rate_lag10,lagged_correlation_deviation,0.5792796426983934,2.1342852459848953,1.3814510642155038,0,0,0
normal,14,lag_Condenser_Cooling_Water_Flow->Separator_Temperature_lag10,lagged_correlation_deviation,0.6748543399692536,1.8914324962046523,1.6510672890362181,0,0,0
normal,16,act_Reactor_Cooling_Water_Flow->Reactor_Temperature,actuator_process_residual,0.805347675069586,0.9056362687471025,0.8776439953792415,0,0,0
normal,16,act_Reactor_Cooling_Water_Outlet_Temperature->Reactor_Temperature,actuator_process_residual,0.8192573609191885,1.009553001188792,0.9854873739141772,0,0,0
normal,16,act_Reactor_Temperature->Reactor_Pressure,actuator_process_residual,0.5561410620204099,1.0486678461819132,0.9829566606021664,0,0,0
normal,16,act_A_C_Feed_Flow->Reactor_Feed_Rate,actuator_process_residual,0.8369909841979822,0.9374606657407878,0.9188851038904831,0,0,0
normal,16,act_A_Feed_Flow->Reactor_Feed_Rate,actuator_process_residual,0.8320049211945864,0.9403739995458106,0.9206856130477536,0,0,0
normal,16,act_D_Feed_Flow->Reactor_Feed_Rate,actuator_process_residual,0.835696407393682,0.9522022114985427,0.9246146804283544,0,0,0
normal,16,act_Condenser_Cooling_Water_Flow->Separator_Temperature,actuator_process_residual,0.6286610408972187,0.9597835610122518,0.9031800370880163,0,0,0
normal,16,act_Condenser_Cooling_Water_Outlet_Temperature->Separator_Temperature,actuator_process_residual,0.6182076284113281,1.011271414698777,0.9555237550395428,0,0,0
normal,16,act_Separator_Temperature->Separator_Pressure,actuator_process_residual,0.6844820940214683,0.8362804947128932,0.790560561869141,0,0,0
normal,16,pair_Reactor_Feed_Rate_vs_Reactor_Temperature,pair_correlation_deviation,0.7802599386730452,1.7323166192501316,1.5844320177780005,0,0,0
normal,16,pair_Separator_Temperature_vs_Separator_Pressure,pair_correlation_deviation,1.3022799581817426,2.6448996685043826,2.2576914950126543,3,2,0
normal,16,pair_Reactor_Temperature_vs_Reactor_Pressure,pair_correlation_deviation,0.7330898496423658,1.806796790676781,1.7127794361000979,0,0,0
normal,16,lag_Reactor_Cooling_Water_Flow->Reactor_Temperature_lag5,lagged_correlation_deviation,0.7037262407833066,2.3488216347109594,1.6705166949369696,0,0,0
normal,16,lag_A_C_Feed_Flow->Reactor_Feed_Rate_lag5,lagged_correlation_deviation,0.5485499566118508,1.7620671092488494,1.293000236680719,0,0,0
normal,16,lag_Condenser_Cooling_Water_Flow->Separator_Temperature_lag5,lagged_correlation_deviation,0.8730586586159981,2.9961747556104794,2.1028563122633597,3,3,1
normal,16,lag_Reactor_Cooling_Water_Flow->Reactor_Temperature_lag10,lagged_correlation_deviation,0.612303209115647,1.6749656387794505,1.4002326423626987,0,0,0
normal,16,lag_A_C_Feed_Flow->Reactor_Feed_Rate_lag10,lagged_correlation_deviation,0.6725748951020586,2.1051904741776526,1.6697295035840547,0,0,0
normal,16,lag_Condenser_Cooling_Water_Flow->Separator_Temperature_lag10,lagged_correlation_deviation,0.8152351864457736,1.9394021925322824,1.845183840595329,0,0,0
normal,17,act_Reactor_Cooling_Water_Flow->Reactor_Temperature,actuator_process_residual,0.8065415595632529,0.9926114712327788,0.9606071249722115,0,0,0
normal,17,act_Reactor_Cooling_Water_Outlet_Temperature->Reactor_Temperature,actuator_process_residual,0.7098164868419183,0.8968140295216022,0.8424402537448771,0,0,0
normal,17,act_Reactor_Temperature->Reactor_Pressure,actuator_process_residual,0.9066735401822487,2.0093432628386116,1.601750097398194,4,4,1
normal,17,act_A_C_Feed_Flow->Reactor_Feed_Rate,actuator_process_residual,0.7670335860567296,0.9051151687993406,0.8550176816826373,0,0,0
normal,17,act_A_Feed_Flow->Reactor_Feed_Rate,actuator_process_residual,0.7697688088189089,0.914821121067035,0.8653451248993197,0,0,0
normal,17,act_D_Feed_Flow->Reactor_Feed_Rate,actuator_process_residual,0.7718231679359356,0.9165462487201236,0.8700299272052313,0,0,0
normal,17,act_Condenser_Cooling_Water_Flow->Separator_Temperature,actuator_process_residual,0.8910826883817563,1.5662783345293916,1.2472112379912477,2,2,0
normal,17,act_Condenser_Cooling_Water_Outlet_Temperature->Separator_Temperature,actuator_process_residual,0.8759546246366411,1.6248132797215222,1.3441836084356125,4,4,1
normal,17,act_Separator_Temperature->Separator_Pressure,actuator_process_residual,0.8498124494245968,1.5426176543943724,1.233936402132519,4,4,1
normal,17,pair_Reactor_Feed_Rate_vs_Reactor_Temperature,pair_correlation_deviation,1.2726479465557163,3.984538288489008,3.1324284714407478,9,9,1
normal,17,pair_Separator_Temperature_vs_Separator_Pressure,pair_correlation_deviation,0.9181752616115769,1.8505686281225988,1.6413604485948754,0,0,0
normal,17,pair_Reactor_Temperature_vs_Reactor_Pressure,pair_correlation_deviation,0.745188160112691,2.387320623914005,1.7059585337075804,0,0,0
normal,17,lag_Reactor_Cooling_Water_Flow->Reactor_Temperature_lag5,lagged_correlation_deviation,0.7791866727401858,3.835776418253486,3.1518834237337616,7,7,1
normal,17,lag_A_C_Feed_Flow->Reactor_Feed_Rate_lag5,lagged_correlation_deviation,0.7179715066245401,2.2405486643488675,1.7823599919463275,0,0,0
normal,17,lag_Condenser_Cooling_Water_Flow->Separator_Temperature_lag5,lagged_correlation_deviation,0.8896929235051974,2.5533789438694625,2.1594457672840237,1,1,0
normal,17,lag_Reactor_Cooling_Water_Flow->Reactor_Temperature_lag10,lagged_correlation_deviation,0.4735284242152878,1.7469583143770857,1.2632784987165535,0,0,0
normal,17,lag_A_C_Feed_Flow->Reactor_Feed_Rate_lag10,lagged_correlation_deviation,0.9850104227511197,2.4138384957143213,2.0366873963873813,0,0,0
normal,17,lag_Condenser_Cooling_Water_Flow->Separator_Temperature_lag10,lagged_correlation_deviation,1.2637285934642892,3.1678260853915177,2.7414151499333794,8,5,1
normal,23,act_Reactor_Cooling_Water_Flow->Reactor_Temperature,actuator_process_residual,0.8324869381999531,1.029019856031066,0.9685198630299529,1,1,0
normal,23,act_Reactor_Cooling_Water_Outlet_Temperature->Reactor_Temperature,actuator_process_residual,0.8424511034651906,1.0863869483667576,1.0511480403440583,6,6,1
