relationship,type,runs,mean_max,p95_max,event_rate_p99,mean_n_above
act_A_C_Feed_Flow->Reactor_Feed_Rate,normal,75,0.9616138558407863,1.038987259767195,0.08,1.04
act_A_C_Feed_Flow->Reactor_Feed_Rate,fault3,500,0.958655770334097,1.0361603081185367,0.09,0.936
act_A_C_Feed_Flow->Reactor_Feed_Rate,fault9,500,0.9603913756570445,1.04154747978702,0.086,1.02
act_A_C_Feed_Flow->Reactor_Feed_Rate,fault15,500,0.9599123316899911,1.0386334072498076,0.102,1.008
act_A_Feed_Flow->Reactor_Feed_Rate,normal,75,0.9621222323261615,1.0419405556988959,0.09333333333333334,0.9733333333333334
act_A_Feed_Flow->Reactor_Feed_Rate,fault3,500,0.9595526507530299,1.0389711885176773,0.098,0.972
act_A_Feed_Flow->Reactor_Feed_Rate,fault9,500,0.9614275363241883,1.0397946295043063,0.1,1.054
act_A_Feed_Flow->Reactor_Feed_Rate,fault15,500,0.961000578516803,1.041335631546848,0.106,1.034
act_Condenser_Cooling_Water_Flow->Separator_Temperature,normal,75,1.2329288230995958,1.5742070361291935,0.08,0.6533333333333333
act_Condenser_Cooling_Water_Flow->Separator_Temperature,fault3,500,1.2460177079388202,1.622241321571471,0.092,0.838
act_Condenser_Cooling_Water_Flow->Separator_Temperature,fault9,500,1.2556730599294608,1.6416435750262108,0.106,0.874
act_Condenser_Cooling_Water_Flow->Separator_Temperature,fault15,500,1.2968546394635998,1.6964736784702852,0.124,1.15
act_Condenser_Cooling_Water_Outlet_Temperature->Separator_Temperature,normal,75,1.2490079380247723,1.64982739830846,0.12,1.0
act_Condenser_Cooling_Water_Outlet_Temperature->Separator_Temperature,fault3,500,1.2493072705355799,1.6447116417854308,0.104,1.022
act_Condenser_Cooling_Water_Outlet_Temperature->Separator_Temperature,fault9,500,1.260990537698448,1.6399510793603984,0.116,1.11
act_Condenser_Cooling_Water_Outlet_Temperature->Separator_Temperature,fault15,500,1.2955713441317325,1.7145550921023733,0.142,1.434
act_D_Feed_Flow->Reactor_Feed_Rate,normal,75,0.9628941838395509,1.0386973513725462,0.10666666666666667,1.0533333333333332
act_D_Feed_Flow->Reactor_Feed_Rate,fault3,500,0.9588711740008959,1.0400224856608586,0.102,0.96
act_D_Feed_Flow->Reactor_Feed_Rate,fault9,500,0.9608052653579351,1.0436587233744858,0.106,1.04
act_D_Feed_Flow->Reactor_Feed_Rate,fault15,500,0.9602773529434939,1.0436031164979958,0.108,1.032
act_Reactor_Cooling_Water_Flow->Reactor_Temperature,normal,75,0.9657841691968249,1.0666028142160162,0.09333333333333334,0.6266666666666667
act_Reactor_Cooling_Water_Flow->Reactor_Temperature,fault3,500,0.9724604566781782,1.081720326073942,0.096,0.742
act_Reactor_Cooling_Water_Flow->Reactor_Temperature,fault9,500,0.9789745656633131,1.0817439177420736,0.102,0.822
act_Reactor_Cooling_Water_Flow->Reactor_Temperature,fault15,500,0.9727889858853737,1.076443764317289,0.086,0.8
act_Reactor_Cooling_Water_Outlet_Temperature->Reactor_Temperature,normal,75,0.9913600710455758,1.1328355966205064,0.13333333333333333,0.8933333333333333
act_Reactor_Cooling_Water_Outlet_Temperature->Reactor_Temperature,fault3,500,0.9894341360552735,1.120388842708606,0.096,0.88
act_Reactor_Cooling_Water_Outlet_Temperature->Reactor_Temperature,fault9,500,0.9949502505438238,1.1260581884266436,0.106,0.938
act_Reactor_Cooling_Water_Outlet_Temperature->Reactor_Temperature,fault15,500,0.9944658998644698,1.1338676914866321,0.108,0.968
act_Reactor_Temperature->Reactor_Pressure,normal,75,1.4522185530923082,1.9860034492947742,0.10666666666666667,0.7333333333333333
act_Reactor_Temperature->Reactor_Pressure,fault3,500,1.4617195589147778,2.0230890954154557,0.086,0.814
act_Reactor_Temperature->Reactor_Pressure,fault9,500,1.480240828149843,2.003221202714673,0.098,0.866
act_Reactor_Temperature->Reactor_Pressure,fault15,500,1.5009255098525158,2.060901124143854,0.106,1.042
act_Separator_Temperature->Separator_Pressure,normal,75,1.1535442625845158,1.483078357392801,0.14666666666666667,1.3866666666666667
act_Separator_Temperature->Separator_Pressure,fault3,500,1.1567573975533338,1.4909452459105816,0.116,1.154
act_Separator_Temperature->Separator_Pressure,fault9,500,1.1710866976675027,1.497030968020187,0.12,1.292
act_Separator_Temperature->Separator_Pressure,fault15,500,1.2132292854200992,1.5814778270261114,0.152,1.71
lag_A_C_Feed_Flow->Reactor_Feed_Rate_lag10,normal,75,2.2870433555322363,3.0064371606019815,0.08,0.7066666666666667
lag_A_C_Feed_Flow->Reactor_Feed_Rate_lag10,fault3,500,2.3094199059936997,3.1252023376466442,0.094,0.914
lag_A_C_Feed_Flow->Reactor_Feed_Rate_lag10,fault9,500,2.3170473197319286,3.177964981920817,0.092,0.91
lag_A_C_Feed_Flow->Reactor_Feed_Rate_lag10,fault15,500,2.3123186870821173,3.161705319683357,0.084,0.892
lag_A_C_Feed_Flow->Reactor_Feed_Rate_lag5,normal,75,2.3516110193977533,3.305531749627153,0.12,1.1733333333333333
lag_A_C_Feed_Flow->Reactor_Feed_Rate_lag5,fault3,500,2.320497905212658,3.156736246610314,0.07,0.928
lag_A_C_Feed_Flow->Reactor_Feed_Rate_lag5,fault9,500,2.3243581878843553,3.1428076035332735,0.072,0.942
lag_A_C_Feed_Flow->Reactor_Feed_Rate_lag5,fault15,500,2.3201375035234286,3.209914807509444,0.084,0.974
lag_Condenser_Cooling_Water_Flow->Separator_Temperature_lag10,normal,75,2.3236696547021736,3.151816000922399,0.09333333333333334,0.96
